name,free_returns,items_sold,items_status,items_shipping,price
10 PCS Magnetic Screwdriver Set Demagnetizer Magnetizer Tool Phillips Flat Head,False,27,Open Box,0,1950
Klein Tools 85105 4-Piece Cushion-Grip Screwdriver Set- 3 Slotted 1 Phillips NEW,True,0,Brand New,0,2999
"LENOX Tools Screwdriver, 6-in-1 Multi-Tool (23931) , Blue",True,0,Brand New,0,1061
Husky 12-in-1 Quick-Load Ratcheting Screwdriver,False,,Brand New,0,2999
5 Pc Ultra Low Profile Offset Screwdriver Set S2 Steel Phillips Slotted Pozidriv,False,0,Brand New,,1299
"Precision Screwdriver Set, TD-56S Vessel JIS Made in Japan, 6 Piece Kit",True,0,Brand New,0,2065
11pc 5-POINT Security Star Bit Socket Set Torx Star Tamper Proof Bits w/ Holder,True,1552,Brand New,,1799
"New 14pc 1/2"" Impact Driver Set Heavy Duty SAE Reversible ",False,,Brand New,,1965
30 In 1 Small Screwdriver Set Mini Magnetic 30 Bits Precision Repair Tool Kit ,True,0,Brand New,0,1995
Klein Tools 32288 6-Pc 8-in-1 Insulated Interchangeable Screwdriver Set New,False,115,Brand New,0,4999
FELO Screwdriver 5 pc Set Slotted Phillips DEU 28005,True,,Brand New,,1373
Magnetic Multi Bit Screwdriver with Acetate Bit Storage Handle,False,79,Brand New,0,1940
Channellock 6 in1 Code Blue Screwdriver,False,0,Brand New,0,1476
20 Pc Screwdriver Kit Screw Driver Mechanic Master Flat Phillips Long Short Set,False,,Brand New,0,2599
"3pc Magnetic Bit Extensions Holder 1/4 Hex Shank 3"" 4"" 6"" Quick Change Screw Tip",True,,Brand New,0,519
"1/2"" Impact Driver Screwdriver Wrench Socket Soft Grip w/Case Phillips Standard",True,119,Brand New,,1098
MAGNETIC SCREWDRIVER BIT SET Impact Ready Drill Driver Bits 208 Piece Tool Kit,False,26,Brand New,0,3769
Pocket Magnetic Screwdriver Set Phillips & Slotted Head With Magnet Top,True,,Brand New,,687
100pc Security Bit Set Torx Star Tamper Screws Hex Key Phillips Slotted Tri Wing,True,,Brand New,0,1399
"For Macbook Air, Macbook Pro Repair Tool Kit 25X/Set 1.2mm Pentalobe Screwdriver",False,28,Brand New,0,678
"14PC Power Nut Driver Set Dual Metric&Standard SAE 1/4"" Shank Black/ Red",False,,Brand New,0,693
Magnetic Stubby Screwdriver 1/4 in Bit Holder Stainless steel Strong Magnet 3'',False,40,Brand New,,998
25 in 1 Magnetic Screwdriver Set Precision Repair Tool Kits for PC Watch Camera,True,572,Brand New,0,699
"4 Piece Mini Stubby Screwdriver Set-2 Phillips, 2 Slotted  TEKTON 26391",False,567,Brand New,0,910
PROMOTIONAL SNAP ON TOOLS POCKET CLIP MINI PHILLIPS SCREWDRIVER & MAGNET TOP ,True,,Brand New,0,599
Impact Screwdriver Set With Case Driver Rusted Screw,True,,Brand New,0,2190
CRAFTSMAN Screwdriver #0 Phillips 3-Pack Set 1 1/2 Inch (Unlabeled) UNK 41542,True,,Open Box,,548
3-1/4 in. 6-in-1 screwdriver,True,0,Brand New,0,399
Portable Screwdriver Keychain 18in1 Multi-Tool Snowflake Shape Hiking Outdoor,False,38,Brand New,0,299
US! 10 x Screwdriver Brush Splined Carb Carburetor Adjusting Tool Set w/ Bag Hot,False,,Brand New,399,1143
New ListingMagnetic Screwdriver Set With Magnetic Drive Guide Socket and 30 Bits (F),False,,Brand New,0,999
Screwdriver for Ring Wifi video Doorbell Tool battery password access 1 & Pro T6,False,105,Brand New,,295
Stanley 66-052 6 Piece Precision Screwdriver Set,True,,Brand New,0,884
6-pc. Long Precision Screwdriver Set,False,0,Brand New,0,1034
"MAGNETIC NUT DRIVER 1 PC. 5/16"" x 12"" INCH LONG SETTERS QUICK CHANGE",False,0,Brand New,0,895
