name,free_returns,items_sold,items_status,items_shipping,price
Marvel mini comic book ,False,,Pre-Owned,460,5500
VAMPIRELLA #25 CVR A PARRILLO 2021 DYNAMITE ENTERTAINMENT 11/10/21 NM,True,0,,475,349
New ListingAll-New Wolverine #1 1st Appearance of X-23. Blank Scketch cover Disney+,False,,New (Other),525,499
New ListingDC Comics Presents #26 NM Comic Book 1st Teen Titans Appearance Raven Flash J577,True,,,498,99
Over 950 DC Comic Books - $1.00 Each - YOU PICK  $4 Shipping Any Quantity,False,2766,READ FULL ITEM DESCRIPTION FOR CURRENT AVAILABLE ISSUES,400,100
New ListingMarvel Dr. Strange #9-11 Marvel Comic Books 1973,False,,,800,895
New Listingvintage batman comic book lot 153 AND 160,False,,Pre-Owned,0,1999
Batman The Cult set from #1-4 DC all 4 different books 8.0 VF (1988),True,0,,599,2100
New ListingDETECTIVE COMICS  #474  1977  BATMAN DC  VF/NM     FIRST DEADSHOT High Grade,False,,New (Other),0,15500
New ListingThe Adventures of Tin Tin set of 2 books,False,,Pre-Owned,1250,99
New ListingHouse Of Secrets Comic Books Issues 1-6,False,,Pre-Owned,930,299
New ListingDaredevil #169 Comic Book 2nd App Elektra,False,,Pre-Owned,600,2499
Immortal Hulk #50 12 Cover Variant Set Options Bartel Inhyuk 2021 Marvel,True,,,425,899
New ListingBetty And Veronica #151 Sept 2000 Sexy Swimsuit Cover (Archie Comic Books) FVF,False,,Pre-Owned,550,800
New ListingWalt Disney’s Donald Duck***Dell***Vintage***lot of 11 issues***Silver age,False,,Pre-Owned,0,3999
New ListingDC Comics Presents # 27 NM Comic Book Superman Martian Manhunter Mongul J577,True,,,498,99
Captain America Epic Collection V14 The Captain New Marvel Comics TPB,False,0,Brand New,395,3495
New ListingYoung Avengers #1 CGC 9.8 1st Kate Bishop Hawkeye Hulkling Wiccan MCU Marvel,False,,Brand New,0,110000
New ListingX-Men Classic 52 53 54 55 56 57 58 Marvel Comics 7 Copper Age books VF or better,True,,Pre-Owned,995,1999
DARKHAWK #1 2ND PRINT RAMIREZ VARIANT 2021 MARVEL COMICS 10/13/21 NM,True,0,,475,399
New ListingLot Of 6 New Mutants Marvel Comic Books # 8 9 11 12 13 14 Wolverine Hulk J577,True,,,498,99
New Listingcomic books,False,,Pre-Owned,1595,2000
New Listing4 Mothman Comic Books Point Pleasant Moth Man All Autographed,False,,Pre-Owned,0,5000
New ListingCool Lot Of 9 Books Of Magic DC Vertigo Comics 1990-1999 Neil Gaiman,False,,,930,795
"Notti & Nyce #5  ""Hot Cowgirl""  SET of 2  Ltd. Ed 100/150. Mychaels Comic Books",False,0,,1495,2995
New ListingGOLDEN AGE MARVEL TALES / STRANGE TALES COMIC BOOK LOT,False,0,,300,999
New ListingWolverine #1 CGC 9.0 VF/NM WP 1st Wolverine As Patch HOT MCU KEY Marvel Comics,False,,New (Other),2000,11500
New ListingThe Blue Beetle #35 Golden Age Fox Comic Book 1944,True,,Pre-Owned,499,999
"New ListingBlack Goliath 2,3,4,5 *4 Book Lot* 1st A'Askvarii(alien race)! Claremont! Marvel",True,,,750,99
House of Slaughter #1 2nd Print Jae Lee 1:10 CGC 9.8 PRE-SALE *READ DESCRIPTION*,False,0,,2000,13000
New ListingGen 13 Mixed Lot Of 6 Comic Books Bootleg Image,False,,Pre-Owned,319,999
New ListingDetective Comics 356 VG 3.5 * 1 Book Lot * Batman! Robin! 1st Full Outsider!,True,,,750,99
