name,free_returns,items_sold,items_status,items_shipping,price
GUN HONEY #2 (OF 4) CVR A LIM (MR) BY TITAN COMICS,False,0,New (Other),425,750
PHENOM X #1 Muniz Main Cover A | Image | Available 11/10 (6.99 cover) Optioned ,False,,Brand New,449,499
"New ListingMASTERS OF THE UNIVERSE 2 Marvel Star Comics 1986 HE-MAN MOTU New, unread condit",False,,Brand New,699,950
PHENOM X #1 McFarlane Variant Cover B | Image |  11/10 (6.99 cover) | Optioned ,False,,Brand New,459,499
New ListingArchie And Me #53 FN- 1972 (Archie Comic Books Giant Series),True,,Pre-Owned,355,400
New ListingLot 23 The Walking Dead Comic Books Graphic Novels 1-23,False,,Pre-Owned,7835,15000
50 Bulk Lot Assorted DC/Marvel/indies Comic Book No Duplicates Modern,False,18,,0,4600
LOT OF 20 RANDOM MYSTERY Awesome Comic Books SILVER MARVEL XMEN 1ST APPEARANCES,False,,Pre-Owned,508,1500
RED ROOM TRIGGER WARNINGS #1 Pulp Fiction Homage Trey Antley Bundle 1:10 1:5,False,,Brand New,900,3000
The Chenoo #1 Graham Nolan Horror Comic indiegogo One Shot Monster NM+,False,0,Brand New,625,1999
New ListingLot of 6 Sandman Comic Books! ,False,,Pre-Owned,800,1000
New ListingDetective Comics 577 NM 9.4 * 1 Book * Batman Year Two! Reaper! Todd McFarlane!,True,,,750,99
New Listingcomic books,False,,New (Other),1595,99
"New Listing6 Comic Books Ragnarok #1-3, 6, 8, 12 IDW 2014-17 Subscription Covers 1st Prints",False,,New (Other),1595,5000
Dark Ages #3 Cover A B Variant Set Options 2021 Marvel Presale 11/17,True,,Brand New,425,389
New ListingComic Books,False,,Brand New,1270,2600
🚨💥🔑 SUPERMAN SON OF KAL-EL SET #1-4 Third & Second Print 1st App Jay Nakamura,False,,Brand New,495,1595
G.I. Joe  Marvel Comics lot in great condition ,False,,New (Other),0,999
New Listing7 Action Comics Feat. Superman DC Comic Books # 484 485 486 487 488 489 495 J577,True,,,498,99
New ListingThe Amazing Spider-Man #111 Gibbon & Kraven the Hunter Appearance Marvel Comic ,True,,,710,2999
"NEW Comic Book Heat Press Pressed Comics for better grading Books, T Shirt Press",False,0,,0,18499
Archie's Ham Radio Adventure Comic Book NOS (1986),False,,,0,1000
DC VS Vampires 1 DC 2021 Kael Ngu Harley Quinn Batman Variant Trade,False,,Brand New,699,2500
New ListingLot of 8 Marvel Spiderman 2099 Comic Books 2 - 9 All VF OR BETTER ~ SEE PHOTOS ,False,,Brand New,382,1999
CROSSOVER #9 COVER A SHAW IMAGE COMICS 2021 EB185,False,,Brand New,499,250
Fantastic Four Epic Collection V1 New Ptg World’s Greatest Comic New Marvel TPB ,False,0,Brand New,395,2695
DC vs. VAMPIRES #1 (EJIKURE GLOW-IN-THE-DARK GITD TEAM VARIANT) ~ IN STOCK NOW!,True,,Brand New,599,999
STAR WARS: BOUNTY HUNTERS 1-17 NM 2020 Sacks Marvel Comics items sold separately,False,,Brand New,497,454
New ListingLot Of 5 Brave & The Bold DC Comic Books # 113 118 141 144 151 Flash Batman J577,True,,,498,99
comic book lot of 60 Random Issues,False,0,Pre-Owned,1625,2000
New ListingDetective Comics 410 VG 4.0 * 1 Book * Batman Batgirl! Denny O'Neil & Neal Adams,True,,,750,99
DARKHAWK #5 (OF 5) MARVEL   12/22  PRE-SALE ,False,,Brand New,625,399
New ListingDC Comics FIRESTORM (Vol 1) Bronze Age Lot 3 Books   SET A,False,,Pre-Owned,565,6600
New ListingRare Out of Print OOP Babylon 5 Comics Comic Books Issue #2 and #4 GC Free Ship,False,,Pre-Owned,550,1999
King of Spies #1 Cover A B C D E Variant Set Options Presale 12/1,True,,Brand New,425,479
New ListingMicronauts # 8 1st Appearance Captain Universe Marvel Comics 1979,False,,,649,1999
New ListingDC Comics Presents # 27 NM Comic Book Superman Martian Manhunter Mongul J577,True,,,498,225
New ListingVenom 1 Marvel 2021 Medina Hidden Gem 1:50 Variant VF+,False,0,,0,2499
Nocterra Vol 1 TPB 1st Print + Signed Book Plate Scott Snyder Tony S Daniel ,False,0,Brand New,595,1099
New ListingBlack Goliath 1 VG 4.0 * 1 Book Lot * 1st Atom-Smasher & Whiz Kids! Marvel 1976!,True,,,750,99
"New ListingFirestorm #50 and Annuals #1 and #2 - Nice Set of Books! (DC, 1983)",True,,New (Other),450,300
New ListingLot Of 8 Captain Marvel Comic Books # 57 58 59 60 61 62 + Spotlight # 2 4 J577,True,,,498,99
New ListingAmazing Spider-Man #122 CGC 4.5 KEY! (Signed by Romita & Gil Kane!) 1973 Marvel,True,,,,39500
"New ListingSuperman Doomsday: Hunter/Prey Full Series #1 #2 #3 NM High-Grade! (DC, 1994)",True,,New (Other),650,2000
New ListingSuperman & Batman World's Finest Comic Book #10 DC Comics 2000 ,False,,Pre-Owned,399,499
"New ListingJim Butcher's The Dresden Files ""Dog Men"" Comic Books #1-6 Complete Series",False,,New (Other),0,2500
New ListingLot of 3 Punisher COMIC BOOKS — Jim Lee — All High Grade,False,,New (Other),585,495
